_id,date,age_group,deaths_boost_vac_rate_7ma,deaths_full_vac_rate_7ma,deaths_not_full_vac_rate_7ma
361,2021-04-21T00:00:00,18-39yrs,0,0,0.01
362,2021-04-21T00:00:00,40-59yrs,0,0,0.08
363,2021-04-21T00:00:00,60+,0,0.16,0.66
364,2021-04-21T00:00:00,ALL,0,0.08,0.18
365,2021-04-22T00:00:00,0-4yrs,0,0,0
366,2021-04-22T00:00:00,5-11yrs,0,0,0.01
367,2021-04-22T00:00:00,12-17yrs,0,0,0
368,2021-04-22T00:00:00,18-39yrs,0,0,0.01
369,2021-04-22T00:00:00,40-59yrs,0,0,0.08
370,2021-04-22T00:00:00,60+,0,0.16,0.66
371,2021-04-22T00:00:00,ALL,0,0.08,0.18
372,2021-04-23T00:00:00,0-4yrs,0,0,0
373,2021-04-23T00:00:00,5-11yrs,0,0,0.01
374,2021-04-23T00:00:00,12-17yrs,0,0,0.01
375,2021-04-23T00:00:00,18-39yrs,0,0,0.02
376,2021-04-23T00:00:00,40-59yrs,0,0,0.09
377,2021-04-23T00:00:00,60+,0,0.16,0.72
378,2021-04-23T00:00:00,ALL,0,0.08,0.2
379,2021-04-24T00:00:00,0-4yrs,0,0,0
380,2021-04-24T00:00:00,5-11yrs,0,0,0.01
381,2021-04-24T00:00:00,12-17yrs,0,0,0.01
382,2021-04-24T00:00:00,18-39yrs,0,0,0.02
383,2021-04-24T00:00:00,40-59yrs,0,0,0.06
384,2021-04-24T00:00:00,60+,0,0.16,0.78
385,2021-04-24T00:00:00,ALL,0,0.08,0.21
386,2021-04-25T00:00:00,0-4yrs,0,0,0
387,2021-04-25T00:00:00,5-11yrs,0,0,0
388,2021-04-25T00:00:00,12-17yrs,0,0,0.01
389,2021-04-25T00:00:00,18-39yrs,0,0,0.01
390,2021-04-25T00:00:00,40-59yrs,0,0,0.07
391,2021-04-25T00:00:00,60+,0,0.08,0.79
392,2021-04-25T00:00:00,ALL,0,0.04,0.21
393,2021-04-26T00:00:00,0-4yrs,0,0,0
394,2021-04-26T00:00:00,5-11yrs,0,0,0
395,2021-04-26T00:00:00,12-17yrs,0,0,0.01
396,2021-04-26T00:00:00,18-39yrs,0,0,0.01
397,2021-04-26T00:00:00,40-59yrs,0,0,0.08
398,2021-04-26T00:00:00,60+,0,0.16,0.78
399,2021-04-26T00:00:00,ALL,0,0.08,0.21
400,2021-04-27T00:00:00,0-4yrs,0,0,0
401,2021-04-27T00:00:00,5-11yrs,0,0,0
402,2021-04-27T00:00:00,12-17yrs,0,0,0.01
403,2021-04-27T00:00:00,18-39yrs,0,0,0.01
404,2021-04-27T00:00:00,40-59yrs,0,0,0.08
405,2021-04-27T00:00:00,60+,0,0.16,0.82
406,2021-04-27T00:00:00,ALL,0,0.08,0.22
407,2021-04-28T00:00:00,0-4yrs,0,0,0
408,2021-04-28T00:00:00,5-11yrs,0,0,0
409,2021-04-28T00:00:00,12-17yrs,0,0,0.01
410,2021-04-28T00:00:00,18-39yrs,0,0,0.02
411,2021-04-28T00:00:00,40-59yrs,0,0,0.09
412,2021-04-28T00:00:00,60+,0,0.08,0.84
413,2021-04-28T00:00:00,ALL,0,0.04,0.23
414,2021-04-29T00:00:00,0-4yrs,0,0,0
415,2021-04-29T00:00:00,5-11yrs,0,0,0
416,2021-04-29T00:00:00,12-17yrs,0,0,0.01
417,2021-04-29T00:00:00,18-39yrs,0,0,0.02
418,2021-04-29T00:00:00,40-59yrs,0,0,0.09
419,2021-04-29T00:00:00,60+,0,0.08,0.87
420,2021-04-29T00:00:00,ALL,0,0.04,0.23
421,2021-04-30T00:00:00,0-4yrs,0,0,0
422,2021-04-30T00:00:00,5-11yrs,0,0,0
423,2021-04-30T00:00:00,12-17yrs,0,0,0
424,2021-04-30T00:00:00,18-39yrs,0,0,0.01
425,2021-04-30T00:00:00,40-59yrs,0,0,0.08
426,2021-04-30T00:00:00,60+,0,0.08,0.8
427,2021-04-30T00:00:00,ALL,0,0.04,0.21
428,2021-05-01T00:00:00,0-4yrs,0,0,0
429,2021-05-01T00:00:00,5-11yrs,0,0,0
430,2021-05-01T00:00:00,12-17yrs,0,0,0
431,2021-05-01T00:00:00,18-39yrs,0,0,0.02
432,2021-05-01T00:00:00,40-59yrs,0,0,0.09
433,2021-05-01T00:00:00,60+,0,0.22,0.76
434,2021-05-01T00:00:00,ALL,0,0.11,0.21
435,2021-05-02T00:00:00,0-4yrs,0,0,0
436,2021-05-02T00:00:00,5-11yrs,0,0,0
437,2021-05-02T00:00:00,12-17yrs,0,0,0
438,2021-05-02T00:00:00,18-39yrs,0,0,0.02
439,2021-05-02T00:00:00,40-59yrs,0,0,0.11
440,2021-05-02T00:00:00,60+,0,0.3,0.73
441,2021-05-02T00:00:00,ALL,0,0.14,0.2
442,2021-05-03T00:00:00,0-4yrs,0,0,0
443,2021-05-03T00:00:00,5-11yrs,0,0,0
444,2021-05-03T00:00:00,12-17yrs,0,0,0
445,2021-05-03T00:00:00,18-39yrs,0,0,0.02
446,2021-05-03T00:00:00,40-59yrs,0,0,0.11
447,2021-05-03T00:00:00,60+,0,0.22,0.68
448,2021-05-03T00:00:00,ALL,0,0.11,0.19
449,2021-05-04T00:00:00,0-4yrs,0,0,0
450,2021-05-04T00:00:00,5-11yrs,0,0,0
451,2021-05-04T00:00:00,12-17yrs,0,0,0
452,2021-05-04T00:00:00,18-39yrs,0,0,0.02
453,2021-05-04T00:00:00,40-59yrs,0,0,0.11
454,2021-05-04T00:00:00,60+,0,0.22,0.65
455,2021-05-04T00:00:00,ALL,0,0.11,0.19
456,2021-05-05T00:00:00,0-4yrs,0,0,0
457,2021-05-05T00:00:00,5-11yrs,0,0,0
458,2021-05-05T00:00:00,12-17yrs,0,0,0
459,2021-05-05T00:00:00,18-39yrs,0,0,0.02
460,2021-05-05T00:00:00,40-59yrs,0,0,0.13
461,2021-05-05T00:00:00,60+,0,0.36,0.6
462,2021-05-05T00:00:00,ALL,0,0.18,0.18
463,2021-05-06T00:00:00,0-4yrs,0,0,0
464,2021-05-06T00:00:00,5-11yrs,0,0,0
465,2021-05-06T00:00:00,12-17yrs,0,0,0
466,2021-05-06T00:00:00,18-39yrs,0,0,0.02
467,2021-05-06T00:00:00,40-59yrs,0,0,0.13
468,2021-05-06T00:00:00,60+,0,0.36,0.58
469,2021-05-06T00:00:00,ALL,0,0.18,0.18
470,2021-05-07T00:00:00,0-4yrs,0,0,0
471,2021-05-07T00:00:00,5-11yrs,0,0,0
472,2021-05-07T00:00:00,12-17yrs,0,0,0
473,2021-05-07T00:00:00,18-39yrs,0,0,0.02
474,2021-05-07T00:00:00,40-59yrs,0,0,0.15
475,2021-05-07T00:00:00,60+,0,0.36,0.62
476,2021-05-07T00:00:00,ALL,0,0.18,0.19
477,2021-05-08T00:00:00,0-4yrs,0,0,0
478,2021-05-08T00:00:00,5-11yrs,0,0,0
479,2021-05-08T00:00:00,12-17yrs,0,0,0
480,2021-05-08T00:00:00,18-39yrs,0,0,0.02
481,2021-05-08T00:00:00,40-59yrs,0,0,0.16
482,2021-05-08T00:00:00,60+,0,0.22,0.67
483,2021-05-08T00:00:00,ALL,0,0.11,0.2
484,2021-05-09T00:00:00,0-4yrs,0,0,0
485,2021-05-09T00:00:00,5-11yrs,0,0,0
